priority,booth,company,theme,why_visit
1,E01,Supermicro,AI Infra,"GPU 서버, 랙스케일 AI 인프라 관점에서 최우선"
2,D01,이스트소프트,Applied AI,"국내 applied AI 제품화 사례 확인용"
3,D21,ITCENCLOIT,Enterprise AI,"기업 AI 도입과 클라우드 전환 관점"
4,E31,마음AI,AI Platform,"음성, 엣지, 플랫폼을 함께 볼 수 있음"
5,E11,MinIO,Data Infra,"AI 데이터 스토리지와 S3 기반 인프라 관점"
6,M11,Saltlux x DeepL,Language AI,"번역, 언어 AI, 엔터프라이즈 현지화 수요 확인"
7,M14,KAYTUS Korea,AI Infra,"서버/인프라 비교군"
8,E23,Advantech,Edge AI,"산업용 하드웨어와 엣지 AI 적용 사례"
9,K11,AIC Inc.,AI Infra,"AI 컴퓨팅 인프라 비교용"
10,i01,미스릴,Physical AI,"제조, 산업안전, Physical AI 관점"
11,D14,HyperAccel,AI Chip,"LLM 추론 반도체와 서버 제품군"
12,D11,ElevenLabs,Voice AI,"음성 생성과 고객 응대 자동화"
13,L01,한국딥러닝,Document AI,"문서 AI와 비정형 문서 처리 자동화"
14,D24,AIFactory,Agentic AI,"노코드 에이전틱 AI 프레임워크"
15,J13,ReadSpeaker Korea,Speech AI,"음성합성/음성인식 실전 적용 사례"
